ID;LAT;LNG;BANCO;RED;DOM_ORIG;DOM_GEO;TERMINALES;WEB;ACTUALIZAC;DOM_NORMA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
1;-34,62021992508938;-58,411047852463852;BANCO GALICIA;BANELCO;24 DE NOVIEMBRE 791;791 24 DE NOVIEMBRE;1;HTTP://WWW.BANELCO.COM/;MAR-15;24 DE NOVIEMBRE 791;BALVANERA;COMUNA 3;1224;C1224AAE
2;-34,60611379518253;-58,371108291277451;BANCO SANTANDER RIO;BANELCO;25 DE MAYO 140;140 25 DE MAYO;4;HTTP://WWW.BANELCO.COM/;MAR-15;25 DE MAYO 140;SAN NICOLAS;COMUNA 1;1002;C1002ABD
3;-34,604272044872232;-58,370791922326873;HSBC ARGENTINA;BANELCO;25 DE MAYO 299;299 25 DE MAYO;2;HTTP://WWW.BANELCO.COM/;MAR-15;25 DE MAYO 299;SAN NICOLAS;COMUNA 1;1002;C1002ABE
4;-34,602717672780713;-58,411617189145858;BANCO SUPERVIELLE;BANELCO;AGUERO 616;616 AGUERO;1;HTTP://WWW.BANELCO.COM/;MAR-15;AGUERO 616;BALVANERA;COMUNA 3;1171;C1171ABJ
5;-34,602622149706562;-58,411593297969702;HSBC ARGENTINA;BANELCO;AGUERO 628;628 AGUERO;1;HTTP://WWW.BANELCO.COM/;MAR-15;AGUERO 628;BALVANERA;COMUNA 3;1171;C1171ABJ
6;-34,626365622600922;-58,450265861555913;CITIBANK;BANELCO;ALBERDI 1555;1555 ALBERDI, JUAN BAUTISTA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ALBERDI, JUAN BAUTISTA AV. 1555;CABALLITO;COMUNA 6;1406;C1406GRE
7;-34,614143408887166;-58,365951357409642;BANCO SANTANDER RIO;BANELCO;ALICIA M. DE JUSTO 1370;1370 MOREAU DE JUSTO, ALICIA AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;MOREAU DE JUSTO, ALICIA AV. 1370;PUERTO MADERO;COMUNA 1;1107;C1107AFB
8;-34,600337671819574;-58,367285908908798;BANCO SANTANDER RIO;BANELCO;ALICIA M. DE JUSTO 164;164 MOREAU DE JUSTO, ALICIA AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;MOREAU DE JUSTO, ALICIA AV. 164;PUERTO MADERO;COMUNA 1;1107;C1107AAD
9;-34,607301591352645;-58,366489976503651;BBVA-BANCO FRANCES;BANELCO;ALICIA M.DE JUSTO 840/76;840 MOREAU DE JUSTO, ALICIA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;MOREAU DE JUSTO, ALICIA AV. 840;PUERTO MADERO;COMUNA 1;1107;C1107AAR
10;-34,611217537290329;-58,38530031360456;BANCO SANTANDER RIO;BANELCO;ALSINA 1338;1338 ALSINA, ADOLFO;2;HTTP://WWW.BANELCO.COM/;MAR-15;ALSINA, ADOLFO 1338;MONSERRAT;COMUNA 1;1088;C1088AAJ
11;-34,591389967753187;-58,383049866238828;BANCO SANTANDER RIO;BANELCO;ALVEAR 1301;1301 ALVEAR AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;ALVEAR AV. 1301;RETIRO;COMUNA 1;1014;C1014AAA
12;-34,589412229211767;-58,37053244858734;HSBC ARGENTINA;BANELCO;ANTARTIDA ARGENTINA 821;ANTARTIDA ARGENTINA AV. & PY, COMODORO, AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ANTARTIDA ARGENTINA AV. Y PY, COMODORO AV.;RETIRO;COMUNA 1;;
13;-34,567437438952489;-58,437215531441652;BANCO SANTANDER RIO;BANELCO;ARCE 940;940 ARCE;2;HTTP://WWW.BANELCO.COM/;MAR-15;ARCE 940;PALERMO;COMUNA 14;1426;C1426BSP
14;-34,601894658002479;-58,513000229752166;BANCO SANTANDER RIO;BANELCO;ASUNCION 4193;4193 ASUNCION;2;HTTP://WWW.BANELCO.COM/;MAR-15;ASUNCION 4193;VILLA DEVOTO;COMUNA 11;1419;C1419HGS
15;-34,595020062499678;-58,399454607616626;ICBC;BANELCO;AV . SANTA FE 2265;2265 SANTA FE AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;SANTA FE AV. 2265;RECOLETA;COMUNA 2;1123;C1123AAE
16;-34,634434772587717;-58,435686698164773;BBVA-BANCO FRANCES;BANELCO;AV ASAMBLEA 695;695 ASAMBLEA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ASAMBLEA AV. 695;PARQUE CHACABUCO;COMUNA 7;1424;C1424COH
17;-34,558624130147564;-58,459351643550249;HSBC ARGENTINA;BANELCO;AV CABILDO 2453;2453 CABILDO AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 2453;BELGRANO;COMUNA 13;1428;C1428AAG
18;-34,552469415239486;-58,465096042260434;ICBC;BANELCO;AV CABILDO 3223;3223 CABILDO AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;CABILDO AV. 3223;NUÑEZ;COMUNA 13;1429;C1429AAD
19;-34,590002671688474;-58,390237308983878;BANCO SANTANDER RIO;BANELCO;AV CALLAO 1690;1690 CALLAO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;CALLAO AV. 1690;RECOLETA;COMUNA 2;1024;C1024AAP
20;-34,60387063065874;-58,411015285711542;HSBC ARGENTINA;BANELCO;AV CORRIENTES 3247;3247 CORRIENTES AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;CORRIENTES AV. 3247;BALVANERA;COMUNA 3;1193;C1193AAE
21;-34,572143286332334;-58,505728962823113;CITIBANK;BANELCO;AV DE LOS CONSTITUYENTES 6020;6020 DE LOS CONSTITUYENTES AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;DE LOS CONSTITUYENTES AV. 6020;VILLA PUEYRREDON;COMUNA 12;1431;C1431EZY
22;-34,545079842558337;-58,45965178535733;ICBC;BANELCO;AV DEL LIBERTADOR 7468;7468 DEL LIBERTADOR AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;DEL LIBERTADOR AV. 7468;NUÑEZ;COMUNA 13;1429;C1429BMU
23;-34,645226676799481;-58,484795007930259;CITIBANK;BANELCO;AV DIRECTORIO 4311;4311 DIRECTORIO AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;DIRECTORIO AV. 4311;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HGD
24;-34,65416724451304;-58,520611069708863;BANCO PATAGONIA;BANELCO;AV E CASTRO 7325;7325 CASTRO, EMILIO AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;CASTRO, EMILIO AV. 7325;LINIERS;COMUNA 9;1408;C1408IGK
25;-34,583513016657456;-58,453131396611013;BANCO MACRO;BANELCO;AV F. LACROZE 3825;3825 LACROZE, FEDERICO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;LACROZE, FEDERICO AV. 3825;CHACARITA;COMUNA 15;1427;C1427EDD
26;-34,620605975538346;-58,473988177311249;BANCO GALICIA;BANELCO;AV GAONA 3496;3496 GAONA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;GAONA AV. 3496;FLORES;COMUNA 7;1416;C1416DSW
27;-34,675059889892268;-58,46038311004974;BANCO GALICIA;BANELCO;AV GRAL FERNANDEZ DE LA CRUZ 4602;4602 FERNANDEZ DE LA CRUZ, F., GRAL. AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4602;VILLA LUGANO;COMUNA 8;1439;C1439CNW
28;-34,582498544622752;-58,495703605190442;BANCO GALICIA;BANELCO;AV GRAL MOSCONI 2340;2340 MOSCONI GENERAL AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;MOSCONI GENERAL AV. 2340;VILLA PUEYRREDON;COMUNA 12;1419;C1419EQP
29;-34,585845702387303;-58,501109823177991;BBVA-BANCO FRANCES;BANELCO;AV GRAL MOSCONI 2816;2816 MOSCONI GENERAL AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;MOSCONI GENERAL AV. 2816;VILLA PUEYRREDON;COMUNA 12;1419;C1419EQU
30;-34,610116699986932;-58,465197146547268;ICBC;BANELCO;AV JUAN B. JUSTO 4710;4710 JUSTO, JUAN B. AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;JUSTO, JUAN B. AV. 4710;VILLA GRAL. MITRE;COMUNA 11;1416;C1416DKO
31;-34,578452543292578;-58,408159367018982;CITIBANK;BANELCO;AV LIBERTADOR 2728;2728 DEL LIBERTADOR AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;DEL LIBERTADOR AV. 2728;PALERMO;COMUNA 14;1425;C1425ABN
32;-34,588164705153169;-58,383499030651947;HSBC ARGENTINA;BANELCO;AV LIBERTADOR 750;750 DEL LIBERTADOR AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;DEL LIBERTADOR AV. 750;RETIRO;COMUNA 1;1001;C1001ABU
33;-34,662696928984388;-58,499756017573098;BANCO GALICIA;BANELCO;AV LISANDRO DE LA TORRE 2406;2406 DE LA TORRE, LISANDRO AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;DE LA TORRE, LISANDRO AV. 2406;MATADEROS;COMUNA 9;1440;C1440ECZ
34;-34,639885787423609;-58,374149935040982;BANCO ITAU;BANELCO;AV MANUEL MONTES DE OCA 1022;1022 MONTES DE OCA, MANUEL;1;HTTP://WWW.BANELCO.COM/;MAR-15;MONTES DE OCA, MANUEL AV. 1022;BARRACAS;COMUNA 4;1270;C1270AAX
35;-34,618043549443222;-58,360734122969646;BANCO MACRO;BANELCO;AV R.V.PENALOZA 507/497;507 VERA PEÑALOZA,  ROSARIO;2;HTTP://WWW.BANELCO.COM/;MAR-15;VERA PEÑALOZA,  ROSARIO 507;PUERTO MADERO;COMUNA 1;1107;C1107CGK
37;-34,626884471493796;-58,457728191825083;BBVA-BANCO FRANCES;BANELCO;AV RIVADAVIA 6483;6483 RIVADAVIA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;RIVADAVIA AV. 6483;FLORES;COMUNA 7;1406;C1406GLH
38;-34,629659307131298;-58,46486461749015;BANCO ITAU;BANELCO;AV RIVADAVIA 7060;7060 RIVADAVIA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;RIVADAVIA AV. 7060;FLORES;COMUNA 7;1406;C1406GMN
39;-34,584842834103654;-58,415696876159089;BANCO ITAU;BANELCO;AV SACALABRINI ORTIZ 2524;2524 SCALABRINI ORTIZ, RAUL;1;HTTP://WWW.BANELCO.COM/;MAR-15;SCALABRINI ORTIZ, RAUL 2524;PALERMO;COMUNA 14;1425;C1425DBT
40;-34,60301995019384;-58,464991958562671;BANCO GALICIA;BANELCO;AV SAN MARTIN 2800;2800 SAN MARTIN AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;SAN MARTIN AV. 2800;VILLA GRAL. MITRE;COMUNA 11;1416;C1416CSP
41;-34,590317807908619;-58,514955602463303;BANCO ITAU;BANELCO;AV SAN MARTIN 7187;7187 SAN MARTIN AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;SAN MARTIN AV. 7187;VILLA DEVOTO;COMUNA 11;1419;C1419ICI
42;-34,595705338411086;-58,383442244459118;CITIBANK;BANELCO;AV SANTA FE 1148;1148 SANTA FE AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;SANTA FE AV. 1148;RETIRO;COMUNA 1;1059;C1059ABS
43;-34,601254294609141;-58,367186566351741;BBVA-BANCO FRANCES;BANELCO;AV. A. M. DE JUSTO 228;228 MOREAU DE JUSTO, ALICIA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;MOREAU DE JUSTO, ALICIA AV. 228;PUERTO MADERO;COMUNA 1;1107;C1107AAD
44;-34,632160357790347;-58,360493605941912;BBVA-BANCO FRANCES;BANELCO;AV. ALMIRANTE BROWN 826;826 BROWN, ALTE. AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;BROWN, ALTE. AV. 826;BOCA;COMUNA 4;1159;C1159ABN
45;-34,618183873740328;-58,502460527504581;BANCO SANTANDER RIO;BANELCO;AV. ALVAREZ JONTE 4502;4502 ALVAREZ JONTE AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;ALVAREZ JONTE AV. 4502;MONTE CASTRO;COMUNA 10;1407;C1407GOZ
46;-34,619632898438155;-58,505117116322026;BANCO PATAGONIA;BANELCO;AV. ALVAREZ JONTE 4740;4740 ALVAREZ JONTE AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;ALVAREZ JONTE AV. 4740;MONTE CASTRO;COMUNA 10;1407;C1407GPO
47;-34,623657847663296;-58,511245711150842;BBVA-BANCO FRANCES;BANELCO;AV. ALVAREZ JONTE 5255;5255 ALVAREZ JONTE AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ALVAREZ JONTE AV. 5255;MONTE CASTRO;COMUNA 10;1407;C1407GPG
48;-34,591201496351736;-58,383355525068907;BANCO GALICIA;BANELCO;AV. ALVEAR 1331;1331 ALVEAR AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ALVEAR AV. 1331;RETIRO;COMUNA 1;1014;C1014AAA
50;-34,607376739223781;-58,445153011674122;BANCO GALICIA;BANELCO;AV. ANGEL GALLARDO 1072;1072 GALLARDO, ANGEL AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;GALLARDO, ANGEL AV. 1072;CABALLITO;COMUNA 6;1405;C1405DJX
51;-34,587617457652577;-58,373212291491576;BANCO GALICIA;BANELCO;AV. ANT. ARGENTINA 1160;1160 ANTARTIDA ARGENTINA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ANTARTIDA ARGENTINA AV. 1160;RETIRO;COMUNA 1;1104;C1104AAX
52;-34,585075389481993;-58,372451198036707;BANCO PATAGONIA;BANELCO;AV. ANT. ARGENTINA 1355;1355 ANTARTIDA ARGENTINA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ANTARTIDA ARGENTINA AV. 1355;RETIRO;COMUNA 1;1104;C1104ACA
53;-34,634434772587717;-58,435686698164773;BBVA-BANCO FRANCES;BANELCO;AV. ASAMBLEA 695;695 ASAMBLEA AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;ASAMBLEA AV. 695;PARQUE CHACABUCO;COMUNA 7;1424;C1424COH
54;-34,61357164303768;-58,385442347325778;BANCO MACRO;BANELCO;AV. BELGRANO 1358;1358 BELGRANO AV.;1;HTTP://WWW.BANELCO.COM/;MAR-15;BELGRANO AV. 1358;MONSERRAT;COMUNA 1;1093;C1093AAO
55;-34,613879159163119;-58,38987205183146;BANCO MACRO;BANELCO;AV. BELGRANO 1668;1668 BELGRANO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;BELGRANO AV. 1668;MONSERRAT;COMUNA 1;1093;C1093AAR
56;-34,613623584804444;-58,39148787666754;BANCO SUPERVIELLE;BANELCO;AV. BELGRANO 1783;1783 BELGRANO AV.;4;HTTP://WWW.BANELCO.COM/;MAR-15;BELGRANO AV. 1783;MONSERRAT;COMUNA 1;1093;C1093AAF
57;-34,6129276972868;-58,376067410150178;BBVA-BANCO FRANCES;BANELCO;AV. BELGRANO 698;698 BELGRANO AV.;2;HTTP://WWW.BANELCO.COM/;MAR-15;BELGRANO AV. 698;MONSERRAT;COMUNA 1;1092;C1092AAT
58;-34,613197427847439;-58,380140860768236;BANCO SANTANDER RIO;BANELCO;AV. BELGRANO 980;980 BELGRANO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;BELGRANO AV. 980;MONSERRAT;COMUNA 1;1092;C1092AAW
59;-34,613208541407957;-58,380307119863069;BANCO GALICIA;BANELCO;AV. BELGRANO 992;992 BELGRANO AV.;3;HTTP://WWW.BANELCO.COM/;MAR-15;BELGRANO AV. 992;MONSERRAT;COMUNA 1;1092;C1092AAW
